Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Original Price,Quantity,Discount,Discount Amount,Sales,Profit,Average sales
129,US-2013-125969,11/7/2013,11/11/2013,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",$50.89,2,0.2,$10.18,$81.42,-$9.16,$40.71
131,US-2014-164147,2/3/2014,2/6/2014,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,$19.99,5,0.4,$8.00,$59.97,-$11.99,$11.99
134,CA-2013-145583,10/14/2013,10/20/2013,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,$6.68,3,0,$0.00,$20.04,$9.62,$6.68
141,CA-2013-110366,9/6/2013,9/8/2013,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$51.75,2,0.2,$10.35,$82.80,$10.35,$41.40
142,CA-2014-106180,9/19/2014,9/24/2014,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,$2.94,3,0,$0.00,$8.82,$2.38,$2.94
145,CA-2014-155376,12/23/2014,12/28/2014,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,$279.81,3,0,$0.00,$839.43,$218.25,$279.81
146,CA-2012-110744,9/7/2012,9/12/2012,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,$95.99,7,0,$0.00,$671.93,$20.16,$95.99
147,CA-2011-110072,10/22/2011,10/28/2011,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",$29.34,4,0.2,$5.87,$93.89,$12.91,$23.47
148,CA-2013-114489,12/6/2013,12/10/2013,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,$34.95,11,0,$0.00,$384.45,$103.80,$34.95
152,CA-2013-158834,3/14/2013,3/17/2013,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,$39.48,5,0.2,$7.90,$157.92,$17.77,$31.58
154,CA-2012-124919,5/31/2012,6/2/2012,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,$8.34,7,0,$0.00,$58.38,$26.27,$8.34
157,CA-2012-118948,5/28/2012,6/3/2012,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,$2.21,3,0,$0.00,$6.63,$1.79,$2.21
158,CA-2011-104269,3/1/2011,3/6/2011,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,$285.98,2,0.2,$57.20,$457.57,$51.48,$228.78
159,CA-2013-114104,11/21/2013,11/25/2013,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,$7.31,2,0,$0.00,$14.62,$6.87,$7.31
161,CA-2013-162733,5/12/2013,5/13/2013,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,$5.98,1,0,$0.00,$5.98,$2.69,$5.98
162,CA-2012-119697,12/28/2012,12/31/2012,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,$33.99,2,0.2,$6.80,$54.38,$1.36,$27.19
163,CA-2013-154508,11/17/2013,11/21/2013,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,OFF-EN-10001990,Office Supplies,Envelopes,Staples,$5.68,5,0,$0.00,$28.40,$13.35,$5.68
164,CA-2013-113817,11/8/2013,11/12/2013,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,$17.30,2,0.2,$3.46,$27.68,$9.69,$13.84
165,CA-2011-139892,9/8/2011,9/12/2011,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,$4.14,3,0.2,$0.83,$9.94,$2.73,$3.31
172,CA-2011-118962,8/5/2011,8/9/2011,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",$6.98,3,0,$0.00,$20.94,$9.84,$6.98
175,US-2011-100853,9/14/2011,9/19/2011,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,$131.12,2,0.8,$104.90,$52.45,-$131.12,$26.22
177,US-2014-152366,4/22/2014,4/26/2014,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",$121.58,4,0.8,$97.26,$97.26,-$243.16,$24.32
178,US-2012-101511,11/21/2012,11/23/2012,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",$80.98,7,0.3,$24.29,$396.80,-$11.34,$56.69
180,CA-2012-137225,12/15/2012,12/19/2012,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",$3.28,1,0,$0.00,$3.28,$1.41,$3.28
181,CA-2011-166191,12/5/2011,12/9/2011,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",$15.51,2,0.2,$3.10,$24.82,$1.86,$12.41
183,CA-2011-158274,11/19/2011,11/24/2011,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,$125.99,4,0,$0.00,$503.96,$131.03,$125.99
186,CA-2013-105018,11/29/2013,12/3/2013,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,$3.58,2,0,$0.00,$7.16,$3.44,$3.58
187,CA-2011-123260,8/26/2011,8/30/2011,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,$22.10,8,0,$0.00,$176.80,$22.98,$22.10
188,CA-2013-157000,7/17/2013,7/23/2013,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",$15.51,3,0.2,$3.10,$37.22,$3.72,$12.41
190,CA-2012-102281,10/12/2012,10/14/2012,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",$280.98,4,0.2,$56.20,$899.14,$112.39,$224.78
195,CA-2012-131457,10/31/2012,11/6/2012,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,92374,West,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,$2.04,7,0,$0.00,$14.28,$6.71,$2.04
196,CA-2011-140004,3/21/2011,3/25/2011,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,45011,East,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",$4.63,2,0.2,$0.93,$7.41,$1.20,$3.70
198,CA-2014-107720,11/7/2014,11/14/2014,Standard Class,VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,$15.42,3,0,$0.00,$46.26,$12.03,$15.42
